course_id,institution,course_code,short_title
HarvardX/CB22x/2013_Spring,Harvard,CB22x,HeroesX
HarvardX/CS50x/2012,Harvard,CS50x,CSIntroH
HarvardX/ER22x/2013_Spring,Harvard,ER22x,JusticeX
HarvardX/PH207x/2012_Fall,Harvard,PH207x,HealthStat
HarvardX/PH278x/2013_Spring,Harvard,PH278x,HealthEnv
MITx/6.002x/2012_Fall,MIT,6.002x,Circuits
MITx/2.01x/2013_Spring,MIT,2.01x,Structures
MITx/14.73x/2013_Spring,MIT,14.73x,Poverty
MITx/6.002x/2013_Spring,MIT,6.002x,Circuits
MITx/3.091x/2012_Fall,MIT,3.091x,SSChem
MITx/3.091x/2013_Spring,MIT,3.091x,SSChem
MITx/6.00x/2012_Fall,MIT,6.00x,Circuits
MITx/6.00x/2013_Spring,MIT,6.00x,CSIntroM
MITx/7.00x/2013_Spring,MIT,7.00x,Biology
MITx/8.02x/2013_Spring,MIT,8.02x,EM
MITx/8.MReV/2013_Summer,MIT,8.MReV,MechRev
